think,"[(278, 114), (279, 61), (287, 47), (290, 43), (292, 46), (292, 49), (292, 53), (292, 56), (291, 58), (290, 60), (288, 60), (287, 60), (286, 59), (286, 58), (285, 58), (285, 57), (285, 56), (285, 56), (286, 56), (288, 58), (291, 62), (297, 66), (303, 74), (312, 82), (318, 92), (323, 103), (328, 112), (331, 119), (334, 125), (336, 130), (337, 136), (339, 140), (341, 143), (342, 145), (341, 148), (341, 149), (342, 149), (342, 150), (343, 150), (345, 150), (346, 151), (347, 151), (347, 151), (349, 149), (350, 148), (354, 142), (360, 139), (365, 133), (374, 127), (382, 120), (393, 113), (403, 103), (415, 94), (425, 87), (434, 80), (443, 75), (450, 70), (456, 66), (461, 62), (465, 58), (470, 56), (474, 54), (478, 53), (482, 52), (484, 52), (485, 52), (485, 53), (485, 54), (483, 58), (480, 63), (476, 70), (471, 77), (463, 88), (451, 102), (437, 118), (422, 132), (406, 146), (393, 160), (381, 177), (371, 188), (364, 197), (359, 207), (355, 215), (350, 223), (346, 228), (344, 233), (340, 237), (340, 241), (340, 243), (343, 245), (346, 245), (349, 242), (351, 239), (355, 235), (359, 232), (368, 226), (380, 217), (394, 209), (410, 201), (423, 193), (436, 185), (447, 178), (457, 171), (464, 165), (471, 160), (474, 155), (476, 152), (477, 152), (475, 168), (474, 231)]"
think,"[(296, 95), (289, 60), (289, 52), (287, 51), (286, 51), (286, 50), (287, 50), (288, 50), (291, 50), (292, 50), (293, 52), (294, 54), (295, 57), (299, 62), (306, 65), (314, 73), (322, 81), (329, 91), (333, 101), (340, 112), (346, 123), (353, 131), (358, 138), (359, 145), (360, 150), (360, 155), (358, 158), (356, 160), (355, 159), (355, 160), (356, 157), (358, 153), (360, 149), (361, 142), (364, 133), (369, 127), (375, 119), (384, 109), (395, 100), (404, 92), (413, 86), (423, 79), (431, 74), (441, 69), (448, 65), (455, 63), (460, 60), (463, 58), (464, 58), (471, 54), (475, 54), (478, 53), (480, 53), (481, 53), (480, 53), (479, 54), (477, 56), (474, 59), (473, 63), (470, 69), (471, 68), (454, 95), (444, 113), (432, 128), (421, 143), (410, 163), (399, 180), (388, 194), (376, 208), (365, 220), (356, 230), (348, 237), (350, 237), (343, 245), (343, 247), (343, 248), (344, 248), (346, 246), (349, 243), (354, 238), (362, 233), (372, 224), (385, 216), (398, 208), (396, 210), (419, 190), (432, 182), (441, 174), (448, 165), (456, 159), (461, 151), (465, 145), (471, 140), (476, 136), (480, 135), (480, 140), (480, 141)]"
think,"[(292, 84), (286, 55), (285, 48), (282, 47), (280, 47), (280, 47), (280, 47), (281, 47), (282, 46), (282, 46), (283, 46), (283, 47), (284, 47), (286, 48), (287, 49), (289, 48), (291, 49), (292, 48), (294, 49), (295, 50), (297, 53), (300, 58), (305, 62), (310, 70), (316, 80), (322, 88), (328, 97), (331, 107), (334, 116), (337, 125), (341, 132), (345, 137), (349, 141), (352, 147), (354, 150), (355, 154), (356, 155), (355, 156), (356, 156), (357, 155), (358, 155), (358, 154), (358, 153), (359, 152), (360, 149), (363, 147), (367, 143), (374, 139), (383, 135), (391, 131), (400, 123), (408, 118), (417, 111), (424, 105), (431, 98), (438, 92), (443, 88), (446, 82), (452, 79), (456, 77), (459, 75), (461, 74), (465, 73), (467, 72), (470, 70), (473, 69), (475, 69), (478, 68), (479, 67), (479, 68), (480, 69), (477, 72), (474, 77), (473, 83), (469, 90), (465, 97), (460, 106), (454, 116), (446, 126), (435, 137), (422, 148), (409, 159), (396, 174), (385, 184), (377, 192), (372, 200), (369, 205), (364, 209), (359, 215), (354, 219), (351, 222), (350, 225), (350, 226), (351, 225), (352, 223), (352, 223), (352, 222), (350, 222), (351, 220), (354, 219), (357, 215), (365, 211), (373, 206), (381, 200), (393, 194), (404, 186), (417, 178), (430, 169), (445, 160), (458, 152), (471, 144), (480, 138), (488, 135), (493, 132), (495, 128), (494, 135), (499, 185), (487, 218)]"
think,"[(326, 154), (312, 93), (307, 61), (307, 55), (303, 57), (301, 60), (299, 64), (297, 67), (296, 69), (295, 69), (295, 69), (295, 68), (295, 68), (294, 68), (294, 67), (295, 67), (297, 69), (302, 73), (307, 78), (314, 84), (322, 92), (326, 103), (332, 114), (336, 123), (342, 129), (346, 136), (350, 140), (352, 144), (353, 147), (353, 147), (353, 148), (352, 149), (352, 148), (353, 146), (355, 144), (359, 139), (365, 133), (375, 126), (386, 118), (398, 109), (407, 102), (418, 94), (428, 87), (437, 82), (446, 78), (456, 75), (463, 71), (468, 68), (470, 67), (470, 67), (471, 66), (473, 65), (476, 66), (478, 65), (480, 66), (479, 66), (477, 68), (472, 72), (468, 78), (463, 86), (459, 96), (453, 109), (446, 122), (436, 134), (424, 149), (409, 168), (394, 182), (379, 200), (371, 209), (361, 218), (356, 226), (354, 232), (353, 234), (352, 235), (352, 236), (353, 236), (353, 234), (356, 231), (362, 227), (376, 220), (389, 212), (407, 206), (420, 198), (434, 190), (448, 184), (458, 180), (467, 175), (475, 172), (480, 168), (485, 166), (486, 166), (485, 177), (484, 213), (467, 269)]"
apple,"[(307, 353), (61, 199), (31, 167), (33, 170), (19, 148), (18, 141), (26, 134), (28, 126), (29, 121), (31, 119), (28, 119), (25, 119), (26, 119), (28, 119), (30, 119), (30, 119), (35, 120), (40, 120), (44, 124), (51, 126), (61, 128), (75, 130), (119, 123), (147, 117), (188, 110), (222, 106), (262, 93), (265, 95), (298, 85), (334, 74), (364, 71), (396, 66), (423, 62), (464, 54), (484, 57), (500, 54), (516, 55), (531, 56), (531, 57), (548, 56), (562, 57), (572, 59), (580, 61), (588, 62), (592, 65), (594, 64), (598, 66), (601, 66), (605, 67), (608, 66), (609, 68), (614, 66), (616, 67), (620, 68), (620, 68), (621, 69), (622, 68), (622, 68), (621, 68), (621, 69), (621, 68), (622, 67), (622, 66), (622, 66), (622, 66), (622, 64), (622, 64), (621, 64), (619, 67), (616, 70), (607, 81), (602, 86), (593, 96), (586, 105), (585, 102), (576, 115), (567, 125), (561, 133), (557, 140), (554, 146), (551, 149), (550, 152), (552, 152), (553, 153), (552, 153), (550, 151), (550, 152), (546, 151), (538, 150), (526, 149), (508, 149), (477, 146), (441, 146), (405, 143), (339, 129), (310, 126), (286, 119), (286, 118), (259, 112), (237, 102), (221, 95), (205, 83), (195, 75), (186, 69), (178, 63), (171, 58), (162, 50), (160, 48), (156, 46), (155, 46), (154, 44), (152, 43), (151, 43), (152, 42), (151, 60), (176, 129)]"
thin,"[(289, 97), (286, 93), (278, 37), (280, 36), (280, 36), (278, 41), (277, 41), (277, 40), (280, 44), (279, 44), (282, 43), (283, 42), (287, 43), (286, 44), (289, 46), (295, 52), (294, 51), (303, 60), (305, 60), (303, 59), (317, 73), (317, 75), (330, 95), (334, 97), (343, 117), (346, 118), (352, 131), (359, 143), (358, 144), (362, 150), (363, 149), (363, 149), (365, 151), (365, 151), (367, 152), (367, 152), (370, 151), (370, 150), (373, 148), (379, 145), (378, 146), (378, 146), (391, 135), (390, 136), (408, 120), (409, 120), (424, 104), (427, 105), (440, 90), (441, 90), (454, 73), (462, 63), (464, 64), (464, 63), (467, 57), (467, 58), (469, 52), (470, 54), (472, 49), (473, 50), (477, 46), (478, 46), (478, 45), (474, 50), (472, 50), (472, 50), (464, 58), (463, 57), (455, 70), (453, 69), (441, 101), (440, 101), (420, 129), (423, 128), (402, 155), (386, 182), (388, 184), (388, 183), (375, 205), (377, 205), (367, 224), (369, 224), (360, 238), (361, 237), (355, 245), (356, 246), (355, 254), (370, 299), (372, 300), (371, 305)]"
thin,"[(302, 72), (301, 57), (302, 58), (297, 57), (296, 56), (293, 57), (293, 57), (291, 57), (291, 57), (291, 57), (290, 57), (290, 57), (289, 56), (288, 57), (289, 57), (292, 60), (292, 60), (300, 65), (299, 64), (308, 78), (307, 76), (322, 95), (321, 95), (321, 94), (333, 110), (344, 125), (345, 125), (350, 139), (351, 138), (351, 145), (352, 143), (354, 144), (354, 144), (355, 143), (355, 143), (355, 142), (357, 142), (357, 142), (358, 139), (367, 132), (368, 133), (383, 118), (385, 119), (399, 100), (400, 101), (414, 86), (416, 87), (416, 87), (432, 68), (448, 56), (450, 56), (459, 51), (460, 51), (465, 48), (465, 48), (469, 47), (470, 47), (474, 47), (474, 47), (474, 47), (477, 48), (476, 48), (476, 48), (476, 49), (476, 49), (478, 50), (479, 50), (481, 51), (481, 51), (479, 58), (478, 57), (478, 58), (467, 71), (446, 113), (447, 113), (425, 136), (428, 137), (404, 169), (407, 167), (383, 199), (382, 200), (372, 217), (372, 216), (372, 216), (367, 226), (365, 229), (366, 229), (365, 229), (366, 229), (366, 228), (365, 227), (363, 227), (362, 227), (362, 226), (359, 227), (359, 228), (354, 229), (349, 235), (349, 235), (360, 271), (360, 271)]"
thin,"[(297, 69), (295, 69), (295, 70), (290, 69), (290, 69), (283, 70), (283, 70), (282, 71), (282, 71), (283, 69), (284, 68), (284, 68), (287, 68), (286, 67), (286, 67), (291, 69), (291, 69), (298, 76), (298, 75), (309, 89), (309, 89), (323, 109), (339, 126), (341, 126), (347, 143), (349, 142), (349, 143), (352, 151), (353, 150), (352, 155), (352, 154), (354, 157), (354, 157), (355, 158), (358, 155), (356, 156), (363, 151), (362, 152), (362, 153), (374, 140), (378, 139), (395, 122), (398, 121), (418, 104), (419, 103), (433, 87), (449, 69), (450, 68), (458, 60), (458, 60), (458, 60), (464, 56), (464, 57), (464, 57), (463, 57), (464, 58), (464, 58), (464, 60), (463, 62), (463, 62), (463, 62), (461, 70), (462, 70), (453, 94), (452, 94), (436, 118), (438, 118), (412, 146), (413, 148), (387, 180), (369, 207), (372, 210), (372, 209), (361, 223), (363, 224), (357, 232), (359, 232), (355, 234), (355, 234), (349, 235), (349, 236), (346, 235), (349, 246), (350, 246), (348, 245), (360, 321), (358, 321)]"
festival,"[(213, 182), (214, 184), (207, 138), (213, 123), (217, 125), (218, 131), (217, 135), (215, 137), (216, 140), (216, 141), (216, 141), (218, 140), (219, 139), (219, 140), (220, 140), (221, 140), (222, 140), (222, 139), (222, 137), (221, 135), (217, 130), (211, 124), (206, 119), (200, 112), (200, 111), (194, 104), (190, 96), (186, 89), (179, 75), (178, 71), (177, 66), (176, 62), (177, 60), (177, 58), (178, 58), (178, 57), (178, 57), (177, 57), (177, 59), (174, 60), (167, 65), (163, 70), (157, 78), (148, 85), (139, 94), (131, 104), (123, 113), (115, 120), (115, 120), (107, 128), (103, 133), (97, 138), (88, 145), (87, 145), (88, 146), (88, 146), (89, 146), (90, 145), (91, 146), (91, 145), (92, 145), (93, 143), (97, 140), (104, 137), (116, 129), (126, 125), (137, 120), (151, 115), (164, 108), (178, 100), (191, 93), (206, 86), (204, 87), (218, 80), (230, 75), (242, 69), (255, 62), (261, 59), (266, 56), (270, 55), (274, 53), (280, 52), (283, 50), (283, 50), (287, 48), (291, 47), (295, 46), (295, 45), (295, 45), (293, 44), (293, 44), (293, 44), (292, 45), (290, 44), (288, 45), (288, 45), (286, 47), (285, 47), (287, 47), (294, 47), (312, 43), (325, 42), (339, 42), (352, 41), (366, 42), (382, 43), (396, 43), (397, 44), (412, 42), (425, 42), (438, 42), (450, 42), (467, 43), (474, 44), (478, 47), (480, 48), (482, 48), (484, 49), (486, 50), (486, 50), (488, 50), (488, 51), (489, 51), (490, 51), (490, 51), (490, 52), (489, 52), (487, 52), (485, 53), (483, 54), (480, 54), (481, 55), (478, 56), (473, 58), (468, 62), (459, 69), (434, 85), (414, 102), (398, 110), (384, 117), (368, 127), (353, 139), (354, 139), (340, 148), (329, 156), (317, 170), (304, 177), (293, 183), (276, 197), (268, 203), (264, 208), (258, 211), (255, 213), (252, 217), (252, 217), (250, 219), (249, 220), (246, 222), (244, 223), (244, 224), (243, 225), (243, 227), (242, 228), (240, 230), (239, 231), (237, 234), (237, 234), (235, 234), (235, 235), (235, 233), (234, 231), (233, 228), (224, 219), (216, 213), (202, 210), (190, 206), (179, 202), (165, 195), (166, 194), (155, 189), (144, 183), (133, 178), (123, 173), (112, 170), (95, 164), (89, 161), (83, 158), (77, 157), (70, 156), (65, 156), (63, 155), (58, 155), (53, 155), (49, 154), (44, 154), (38, 154), (30, 152), (28, 151), (27, 151), (28, 151), (30, 150), (31, 149), (33, 151), (36, 150), (42, 149), (47, 147), (56, 146), (67, 144), (96, 137), (113, 134), (131, 132), (153, 129), (172, 126), (175, 127), (196, 127), (222, 126), (247, 125), (274, 126), (299, 121), (326, 120), (375, 119), (398, 119), (418, 120), (436, 123), (451, 125), (451, 126), (465, 127), (480, 128), (492, 127), (502, 128), (513, 128), (523, 128), (534, 128), (537, 129), (541, 131), (542, 131), (542, 133), (542, 133), (543, 134), (543, 135), (543, 136), (543, 137), (542, 138), (541, 139), (533, 155), (535, 178), (530, 210)]"
think,"[(268, 43), (267, 43), (268, 44), (267, 34), (267, 35), (262, 38), (263, 36), (263, 39), (263, 39), (264, 39), (263, 40), (264, 40), (267, 43), (268, 42), (267, 43), (274, 47), (275, 46), (282, 54), (290, 59), (297, 67), (305, 75), (314, 84), (328, 101), (333, 115), (338, 124), (340, 133), (340, 133), (342, 139), (343, 144), (342, 148), (342, 151), (342, 152), (343, 151), (345, 151), (347, 148), (347, 147), (349, 146), (350, 145), (351, 144), (354, 141), (359, 137), (369, 130), (381, 121), (395, 113), (409, 102), (428, 93), (459, 74), (474, 68), (486, 63), (486, 64), (495, 62), (501, 60), (504, 58), (505, 59), (505, 59), (504, 59), (504, 58), (504, 58), (499, 58), (495, 60), (489, 62), (488, 62), (484, 64), (480, 67), (477, 71), (470, 79), (461, 87), (450, 103), (437, 121), (422, 138), (387, 182), (371, 209), (360, 230), (360, 229), (348, 251), (343, 265), (337, 271), (337, 275), (337, 278), (339, 280), (340, 279), (343, 278), (349, 271), (355, 262), (359, 255), (359, 255), (367, 245), (378, 233), (387, 220), (397, 208), (410, 195), (422, 183), (435, 172), (448, 163), (470, 144), (480, 140), (488, 137), (489, 137), (492, 136), (494, 143), (495, 188), (493, 232)]"
wonder,"[(178, 137), (157, 73), (148, 60), (135, 61), (125, 63), (117, 64), (112, 67), (109, 66), (106, 65), (101, 63), (94, 62), (89, 60), (85, 57), (82, 55), (80, 51), (81, 49), (82, 47), (85, 47), (86, 48), (89, 47), (92, 47), (95, 48), (97, 48), (99, 49), (101, 48), (103, 48), (104, 47), (105, 49), (105, 48), (106, 49), (107, 49), (110, 50), (116, 50), (123, 49), (133, 47), (147, 46), (166, 44), (186, 42), (210, 40), (237, 37), (265, 36), (293, 38), (318, 37), (344, 38), (370, 37), (393, 37), (415, 36), (436, 36), (453, 33), (468, 35), (482, 33), (493, 35), (504, 36), (513, 37), (522, 38), (532, 39), (538, 40), (544, 43), (550, 43), (552, 44), (553, 46), (556, 47), (557, 47), (557, 47), (557, 47), (558, 48), (558, 47), (559, 47), (559, 47), (560, 46), (560, 47), (560, 47), (560, 47), (560, 48), (559, 51), (559, 52), (558, 54), (556, 57), (551, 62), (544, 67), (535, 75), (522, 85), (510, 96), (495, 109), (481, 122), (464, 140), (447, 153), (430, 167), (415, 182), (399, 196), (384, 207), (375, 216), (367, 223), (361, 229), (355, 233), (350, 236), (347, 240), (345, 243), (343, 246), (343, 246), (343, 246), (342, 247), (343, 247), (344, 246), (344, 245), (346, 245), (346, 242), (347, 240), (347, 237), (347, 234), (344, 233), (338, 229), (330, 225), (321, 219), (309, 213), (294, 209), (277, 201), (259, 195), (242, 189), (227, 181), (214, 175), (203, 168), (193, 163), (186, 158), (179, 154), (175, 152), (173, 150), (169, 148), (168, 148), (167, 148), (167, 147), (168, 148), (168, 146), (169, 147), (170, 145), (169, 145), (169, 143), (169, 142), (168, 143), (167, 141), (167, 139), (166, 138), (166, 134), (167, 128), (170, 120), (172, 111), (173, 103), (173, 94), (174, 89), (176, 80), (176, 73), (178, 68), (178, 64), (178, 62), (178, 60), (177, 61), (176, 61), (175, 61), (175, 62), (174, 62), (173, 63), (172, 64), (170, 64), (169, 65), (168, 66), (168, 65), (169, 66), (171, 65), (175, 66), (180, 67), (186, 65), (193, 65), (200, 64), (210, 64), (220, 63), (232, 62), (239, 62), (245, 62), (247, 64), (248, 65), (246, 67), (246, 66), (244, 65), (243, 67), (241, 66), (238, 68), (235, 70), (232, 77), (235, 102)]"
